id,怪物名称,出生点,出生范围,怪物数量,移动范围
前4位对应地图id前四位，第五六位区分1小怪/2boss，后2位对应怪物编号,1是普通怪2是boss,x#y,x#y,填坐标2后可填，表示区域内怪物数量,移动范围至少要大于等于出生范围
uint#id,string#name,string#positon,uint#bornRange,uint#total,uint#bornDistance
id,name,position,bornRange,total,bornDistance
11601,魔煞狂猫,255#113,1,1,0
11601,魔煞狂猫,267#109,1,1,0
11601,魔煞狂猫,262#100,1,1,0
11601,魔煞狂猫,252#105,1,1,0
11651,魔煞狂猫(猛兽),260#105,1,1,0
11601,魔煞狂猫,272#101,1,1,0
11601,魔煞狂猫,286#98,1,1,0
11601,魔煞狂猫,282#88,1,1,0
11601,魔煞狂猫,269#88,1,1,0
11651,魔煞狂猫(猛兽),277#94,1,1,0
11601,魔煞狂猫,260#88,1,1,0
11601,魔煞狂猫,257#81,1,1,0
11601,魔煞狂猫,272#79,1,1,0
11601,魔煞狂猫,263#73,1,1,0
11651,魔煞狂猫(猛兽),264#80,1,1,0
11601,魔煞狂猫,270#67,1,1,0
11601,魔煞狂猫,279#75,1,1,0
11601,魔煞狂猫,288#65,1,1,0
11601,魔煞狂猫,281#55,1,1,0
11651,魔煞狂猫(猛兽),280#65,1,1,0
11601,魔煞狂猫,297#100,1,1,0
11601,魔煞狂猫,297#100,1,1,0
11601,魔煞狂猫,299#92,1,1,0
11601,魔煞狂猫,316#97,1,1,0
11651,魔煞狂猫(猛兽),322#89,1,1,0
11601,魔煞狂猫,309#96,1,1,0
11601,魔煞狂猫,332#86,1,1,0
11601,魔煞狂猫,331#75,1,1,0
11601,魔煞狂猫,331#75,1,1,0
11651,魔煞狂猫(猛兽),344#77,1,1,0
11601,魔煞狂猫,341#64,1,1,0
11601,魔煞狂猫,339#74,1,1,0
11601,魔煞狂猫,354#70,1,1,0
11601,魔煞狂猫,359#61,1,1,0
11651,魔煞狂猫(猛兽),365#73,1,1,0
11601,魔煞狂猫,375#60,1,1,0
11601,魔煞狂猫,364#67,1,1,0
11601,魔煞狂猫,336#49,1,1,0
11601,魔煞狂猫,328#62,1,1,0
11651,魔煞狂猫(猛兽),318#50,1,1,0
11601,魔煞狂猫,326#39,1,1,0
11601,魔煞狂猫,327#50,1,1,0
11601,魔煞狂猫,270#59,1,1,0
11601,魔煞狂猫,263#51,1,1,0
11651,魔煞狂猫(猛兽),269#44,1,1,0
11601,魔煞狂猫,272#51,1,1,0
11601,魔煞狂猫,288#44,1,1,0
11601,魔煞狂猫,303#51,1,1,0
11601,魔煞狂猫,310#43,1,1,0
11651,魔煞狂猫(猛兽),297#31,1,1,0
11601,魔煞狂猫,298#42,1,1,0
11601,魔煞狂猫,278#42,1,1,0
11601,魔煞狂猫,287#32,1,1,0
11601,魔煞狂猫,310#33,1,1,0
11651,魔煞狂猫(猛兽),335#58,1,1,0
11601,魔煞狂猫,88#182,1,1,0
11601,魔煞狂猫,98#184,1,1,0
11601,魔煞狂猫,103#176,1,1,0
11601,魔煞狂猫,103#176,1,1,0
11651,魔煞狂猫(猛兽),103#176,1,1,0
11601,魔煞狂猫,95#171,1,1,0
11601,魔煞狂猫,95#179,1,1,0
11601,魔煞狂猫,114#177,1,1,0
11601,魔煞狂猫,120#165,1,1,0
11651,魔煞狂猫(猛兽),104#165,1,1,0
11601,魔煞狂猫,104#165,1,1,0
11601,魔煞狂猫,113#157,1,1,0
11601,魔煞狂猫,113#157,1,1,0
11601,魔煞狂猫,114#169,1,1,0
11651,魔煞狂猫(猛兽),96#151,1,1,0
11601,魔煞狂猫,102#157,1,1,0
11601,魔煞狂猫,84#161,1,1,0
11601,魔煞狂猫,73#154,1,1,0
11601,魔煞狂猫,95#163,1,1,0
11651,魔煞狂猫(猛兽),63#157,1,1,0
11601,魔煞狂猫,72#163,1,1,0
11601,魔煞狂猫,81#171,1,1,0
11601,魔煞狂猫,63#175,1,1,0
11601,魔煞狂猫,68#169,1,1,0
11651,魔煞狂猫(猛兽),67#181,1,1,0
11601,魔煞狂猫,76#181,1,1,0
11602,狱魔松鼠,284#222,1,1,0
11602,狱魔松鼠,292#228,1,1,0
11602,狱魔松鼠,292#228,1,1,0
11602,狱魔松鼠,301#223,1,1,0
11652,狱魔松鼠(猛兽),293#217,1,1,0
11602,狱魔松鼠,293#217,1,1,0
11602,狱魔松鼠,292#223,1,1,0
11602,狱魔松鼠,305#233,1,1,0
11602,狱魔松鼠,320#234,1,1,0
11602,狱魔松鼠,310#219,1,1,0
11602,狱魔松鼠,312#228,1,1,0
11602,狱魔松鼠,330#233,1,1,0
11602,狱魔松鼠,339#225,1,1,0
11652,狱魔松鼠(猛兽),337#214,1,1,0
11602,狱魔松鼠,326#216,1,1,0
11602,狱魔松鼠,332#225,1,1,0
11602,狱魔松鼠,331#205,1,1,0
11602,狱魔松鼠,341#196,1,1,0
11652,狱魔松鼠(猛兽),348#210,1,1,0
11602,狱魔松鼠,355#202,1,1,0
11602,狱魔松鼠,343#204,1,1,0
11602,狱魔松鼠,359#195,1,1,0
11602,狱魔松鼠,360#185,1,1,0
11652,狱魔松鼠(猛兽),360#185,1,1,0
11602,狱魔松鼠,352#179,1,1,0
11602,狱魔松鼠,345#189,1,1,0
11602,狱魔松鼠,353#189,1,1,0
11602,狱魔松鼠,338#181,1,1,0
11652,狱魔松鼠(猛兽),331#173,1,1,0
11602,狱魔松鼠,347#173,1,1,0
11602,狱魔松鼠,340#164,1,1,0
11602,狱魔松鼠,340#174,1,1,0
11602,狱魔松鼠,341#154,1,1,0
11652,狱魔松鼠(猛兽),352#160,1,1,0
11602,狱魔松鼠,358#148,1,1,0
11602,狱魔松鼠,344#143,1,1,0
11602,狱魔松鼠,349#152,1,1,0
11602,狱魔松鼠,360#163,1,1,0
11652,狱魔松鼠(猛兽),368#146,1,1,0
11602,狱魔松鼠,342#135,1,1,0
11602,狱魔松鼠,369#136,1,1,0
11602,狱魔松鼠,356#133,1,1,0
11602,狱魔松鼠,318#176,1,1,0
11652,狱魔松鼠(猛兽),319#164,1,1,0
11602,狱魔松鼠,308#160,1,1,0
11602,狱魔松鼠,308#176,1,1,0
11602,狱魔松鼠,305#145,1,1,0
11652,狱魔松鼠(猛兽),292#153,1,1,0
11602,狱魔松鼠,297#167,1,1,0
11602,狱魔松鼠,279#159,1,1,0
11602,狱魔松鼠,299#158,1,1,0
11602,狱魔松鼠,299#158,1,1,0
11652,狱魔松鼠(猛兽),277#168,1,1,0
11602,狱魔松鼠,292#174,1,1,0
11602,狱魔松鼠,274#180,1,1,0
11602,狱魔松鼠,283#187,1,1,0
11602,狱魔松鼠,284#179,1,1,0
11602,狱魔松鼠,307#192,1,1,0
11602,狱魔松鼠,290#195,1,1,0
11602,狱魔松鼠,304#202,1,1,0
11602,狱魔松鼠,299#194,1,1,0
11652,狱魔松鼠(猛兽),290#186,1,1,0
11602,狱魔松鼠,288#205,1,1,0
11602,狱魔松鼠,309#211,1,1,0
11602,狱魔松鼠,320#206,1,1,0
11602,狱魔松鼠,320#206,1,1,0
11652,狱魔松鼠(猛兽),297#208,1,1,0
11603,狱魔狂獭,315#258,1,1,0
11603,狱魔狂獭,326#256,1,1,0
11603,狱魔狂獭,333#266,1,1,0
11603,狱魔狂獭,324#270,1,1,0
11653,狱魔狂獭(猛兽),324#263,1,1,0
11603,狱魔狂獭,342#260,1,1,0
11603,狱魔狂獭,350#268,1,1,0
11603,狱魔狂獭,353#277,1,1,0
11603,狱魔狂獭,340#283,1,1,0
11653,狱魔狂獭(猛兽),343#274,1,1,0
11603,狱魔狂獭,358#284,1,1,0
11603,狱魔狂獭,361#293,1,1,0
11603,狱魔狂獭,350#299,1,1,0
11603,狱魔狂獭,338#296,1,1,0
11653,狱魔狂獭(猛兽),350#289,1,1,0
11603,狱魔狂獭,332#288,1,1,0
11603,狱魔狂獭,325#282,1,1,0
11603,狱魔狂獭,310#287,1,1,0
11603,狱魔狂獭,324#302,1,1,0
11653,狱魔狂獭(猛兽),323#294,1,1,0
11603,狱魔狂獭,339#306,1,1,0
11603,狱魔狂獭,327#313,1,1,0
11603,狱魔狂獭,335#324,1,1,0
11603,狱魔狂獭,335#324,1,1,0
11653,狱魔狂獭(猛兽),345#318,1,1,0
11603,狱魔狂獭,337#316,1,1,0
11603,狱魔狂獭,344#325,1,1,0
11603,狱魔狂獭,347#333,1,1,0
11603,狱魔狂獭,359#332,1,1,0
11653,狱魔狂獭(猛兽),356#318,1,1,0
11603,狱魔狂獭,352#327,1,1,0
11603,狱魔狂獭,314#267,1,1,0
11603,狱魔狂獭,302#277,1,1,0
11603,狱魔狂獭,302#277,1,1,0
11653,狱魔狂獭(猛兽),305#293,1,1,0
11603,狱魔狂獭,307#309,1,1,0
11603,狱魔狂獭,316#304,1,1,0
11604,魔煞狂鹿,281#281,1,1,0
11604,魔煞狂鹿,281#291,1,1,0
11604,魔煞狂鹿,268#292,1,1,0
11604,魔煞狂鹿,269#281,1,1,0
11654,魔煞狂鹿(猛兽),273#286,1,1,0
11604,魔煞狂鹿,259#273,1,1,0
11604,魔煞狂鹿,259#283,1,1,0
11604,魔煞狂鹿,251#291,1,1,0
11604,魔煞狂鹿,244#281,1,1,0
11654,魔煞狂鹿(猛兽),252#279,1,1,0
11604,魔煞狂鹿,230#286,1,1,0
11604,魔煞狂鹿,223#278,1,1,0
11604,魔煞狂鹿,236#278,1,1,0
11604,魔煞狂鹿,232#272,1,1,0
11654,魔煞狂鹿(猛兽),229#279,1,1,0
11604,魔煞狂鹿,221#305,1,1,0
11604,魔煞狂鹿,219#297,1,1,0
11604,魔煞狂鹿,233#301,1,1,0
11604,魔煞狂鹿,231#294,1,1,0
11654,魔煞狂鹿(猛兽),226#300,1,1,0
11604,魔煞狂鹿,238#313,1,1,0
11604,魔煞狂鹿,248#316,1,1,0
11604,魔煞狂鹿,251#311,1,1,0
11604,魔煞狂鹿,243#302,1,1,0
11654,魔煞狂鹿(猛兽),246#310,1,1,0
11604,魔煞狂鹿,228#315,1,1,0
11604,魔煞狂鹿,229#324,1,1,0
11604,魔煞狂鹿,220#320,1,1,0
11604,魔煞狂鹿,222#328,1,1,0
11654,魔煞狂鹿(猛兽),224#322,1,1,0
11604,魔煞狂鹿,239#339,1,1,0
11604,魔煞狂鹿,234#334,1,1,0
11604,魔煞狂鹿,246#334,1,1,0
11604,魔煞狂鹿,239#326,1,1,0
11654,魔煞狂鹿(猛兽),239#334,1,1,0
11604,魔煞狂鹿,262#316,1,1,0
11604,魔煞狂鹿,274#316,1,1,0
11604,魔煞狂鹿,274#304,1,1,0
11604,魔煞狂鹿,262#302,1,1,0
11654,魔煞狂鹿(猛兽),268#311,1,1,0
11604,魔煞狂鹿,169#338,1,1,0
11604,魔煞狂鹿,184#342,1,1,0
11604,魔煞狂鹿,186#335,1,1,0
11604,魔煞狂鹿,174#329,1,1,0
11654,魔煞狂鹿(猛兽),179#336,1,1,0
11604,魔煞狂鹿,184#327,1,1,0
11604,魔煞狂鹿,180#318,1,1,0
11604,魔煞狂鹿,180#318,1,1,0
11604,魔煞狂鹿,188#312,1,1,0
11654,魔煞狂鹿(猛兽),194#319,1,1,0
11604,魔煞狂鹿,187#320,1,1,0
11604,魔煞狂鹿,164#316,1,1,0
11604,魔煞狂鹿,176#309,1,1,0
11604,魔煞狂鹿,187#300,1,1,0
11654,魔煞狂鹿(猛兽),200#297,1,1,0
11604,魔煞狂鹿,195#304,1,1,0
11604,魔煞狂鹿,185#288,1,1,0
11604,魔煞狂鹿,198#290,1,1,0
11604,魔煞狂鹿,198#281,1,1,0
11654,魔煞狂鹿(猛兽),188#274,1,1,0
11604,魔煞狂鹿,192#283,1,1,0
11604,魔煞狂鹿,194#275,1,1,0
11604,魔煞狂鹿,212#273,1,1,0
11604,魔煞狂鹿,207#262,1,1,0
11654,魔煞狂鹿(猛兽),207#262,1,1,0
11604,魔煞狂鹿,190#262,1,1,0
11604,魔煞狂鹿,204#269,1,1,0
11604,魔煞狂鹿,242#289,1,1,0
11604,魔煞狂鹿,200#257,1,1,0
11654,魔煞狂鹿(猛兽),182#264,1,1,0
11605,狱血狂鳄,38#280,1,1,0
11605,狱血狂鳄,39#269,1,1,0
11605,狱血狂鳄,50#267,1,1,0
11605,狱血狂鳄,52#278,1,1,0
11655,狱血狂鳄(猛兽),46#275,1,1,0
11605,狱血狂鳄,46#256,1,1,0
11605,狱血狂鳄,57#259,1,1,0
11605,狱血狂鳄,57#259,1,1,0
11605,狱血狂鳄,57#259,1,1,0
11655,狱血狂鳄(猛兽),57#259,1,1,0
