BUFFid,BUFF名称,BUFF类型,BUFF子类型,BUFF参数,BUFF参数2,BUFF参数3,触发时机,首次执行延迟,执行间隔,消除类型,执行对象,是否可共存,优先级,持续时间参数,BUFF属性,buff群,该buff无法覆盖,BUFF属性组,buff描述,进试炼塔是否清除该buff,buff伤害是否独立飘数字,buff效果文字飘字,战力值
效果ID,,1属性buff；2状态buff；3地图buff；4伤害；5恢复；6驱散buff；7守护之魂特殊类型9标记buff；13可以被抵抗的伤害buff,101 经验药水专用 102减速；103加防；104加攻；105减伤；106最大生命百分比；107减魔；109提升最小魔法攻击；130 灵兽用经验加成 201；202；203；204；205吸血；206复活；207冰封；401扣血；501加血；502加魔；602；701守护之魂减伤类型；901赤色要塞报名；1001多倍经验；1101免疫位移 ,buff类型=3，参数代表每次路径原点的随即范围,,,1=受到伤害后，2=死亡后，3=时间，5=即时触发，6=buff移除时,buff生效的延迟时间，单位毫秒，0=立即执行,时间单位毫秒,1目标死亡后消除；2复活后；3持续时间结束；4碰撞目标后消失；5死亡、强控、位移后消失；6使用技能后；7召唤兽死亡后；8驱散buff；9退出地图；10服务器GM移除；11技能带的buff，脱下技能后移除；12洗点后移除；13气功重置移除 14重置天赋,1:敌方2:友方3:友方召唤物4:敌方召唤物5:自身6:仅对玩家生效 11:战士12：法师13：异能14：全体15：攻击怪物提升16：军团BOSS,overlying = 0 可共存，填组ID，除0外同组ID只存在一个BUFF，存在BUFF由优先级决定,数字越大越优先 999同组不可替换,持续时间包含delay,buff属性：100=冰；101=火；102=水；103=地；104=风；105=毒；106=雷,id相同的buff为同一类，清除时解除同类buff,1为无法覆盖,基础防御值defenseBase；移动速度万分比moveSpeed_mul；血量上限增加万分比maximumHealth_mul；血量上限增加固定值maximumHealth_fAdd；总伤害增加万分比damageIncreaseRate；总伤害增加固定值damageIncreaseFix；受到伤害减少万分比receivedDamageReduceRate；受到伤害减少固定值receivedDamageReduceRateFix；受到伤害减魔力万分比hurtReduceMPRate；受到伤害减魔力固定值hurtReduceMPFix；基础伤害加成baseDamageBonus；基础伤害最小值加成baseMinDamageBonus；基础伤害最大值加成baseMaxDamageBonus；物理伤害最小值加成minimumPhysBaseDmg；物理伤害最大值加成maximumPhysBaseDmg；法术伤害最小值加成万分比minimumWizBaseDmg_mul；法术伤害最小值加成固定值minimumWizBaseDmg；法术伤害最大值加成maximumWizBaseDmg；咒术伤害最小加成minimumCurseBaseDmg；咒术伤害最大加成maximumCurseBaseDmg；,,0清除 1不清,0或空=不飘  1=飘,填飘字的图片名，不填不飘,
uint#id,string#name,uint#type,uint#subType,string#buffParam,string#buffParam2,string#buffParam3,uint#trigger,uint#delay,uint#cdTime,string#dispelType,uint#target,uint#overlying,uint#prioprity,uint#totalTime,uint#probability ,uint#groupId,uint#noclean,IntMap#attribute,string#desc,uint#orEliminate,uint#showDamage,string#showName,uint#fightPower
id,name,type,subType,buffParam,buffParam2,buffParam3,trigger,delay,cdTime,dispelType,target,overlying,priority,totalTime,probability,groupId,noclean,attribute,desc,orEliminate,showDamage,showName,fightPower
93005,深渊戈登反弹,1,,0#0,,,1,0,0,3,5,0,1,5000,,,,{"damageReflection":10000#"defenseBase":0#"moveSpeed_mul":0},受到攻击时反弹<color=#1add1f>350</color>伤害,,,,
93007,炎域假面巫_燃烧,4,401,1000#0,,,3,1000,1000,1#3,1,0,1,10000,,,,{"defenseBase":0#"moveSpeed_mul":0},每秒对目标造成<color=#1add1f>100</color>伤害,,,,
93008,冰霜召唤者普攻-冰冻,1,124,,,,3,0,0,1#3,1,93008,1,5000,,,,{"damageAbsorption":-500#"defenseBase":0#"moveSpeed_mul":0},无法动弹，持续5秒,,,,
93009,冰霜召唤者全屏技能,4,401,9000#0,,,3,0,10000,1#3,1,0,1,0,,,,{"defenseBase":0#"moveSpeed_mul":0},,,,,
900011,怪物用百分比伤害5%,4,401,500#0,,,3,0,600,1#3,1,0,1,500,,,,{"defenseBase":0#"moveSpeed_mul":0},,,,,
900012,怪物用百分比伤害10%,4,401,1000#0,,,3,0,600,1#3,1,0,1,500,,,,{"defenseBase":0#"moveSpeed_mul":0},,,,,
900013,怪物用百分比伤害9%,4,401,900#0,,,3,0,600,1#3,1,0,1,500,,,,{"defenseBase":0#"moveSpeed_mul":0},,,,,
