ID,标识物品废弃,道具名称,图标,道具类型,子类型,X轴,Y轴,使用条件201&$M$2&O7&$P$2&101&$M$2&P7&$P$2&301&$M$2&Q7&$P$2&401&$M$2&R7&$P$2&501&$M$2&S7,可用职业,可用性别,需要等级,阵营要求,特殊归属保护时间,品质,聊天颜色显示,tips颜色显示,战斗力,是否绑定,堆叠数量,使用效果,道具参数,自动使用,使用cd,共用CD组,使用次数,获取次数,拾取次数,整理排序,售价,回收额外获得,捐献贡献,是否可以销毁,拍卖行底价,物品使用条件（服务器）,是否会掉落,服务器日志（记录物品的来源和去向）,掉落日志,道具有效时间,对应非绑定道具id,是否拍卖,价格限制,是否获得即使用,离开副本后道具状态,拍卖公示时间,最小上架数量,推荐价格,竞价幅度,时装标示,死亡购买使用道具,交易行购买后是否变为绑定,日志记录,未拾取邮件补发物品标记,是否可存入仓库,时装系列
type*10^6+subtype*10^4+累计数量*10+卓越1/套装2,1：废弃  不填：不废弃,,,1资源；2装备；3消耗品；5宝箱；6材料；11火宝石；12水宝石；13冰宝石；14风宝石；15雷宝石；16土宝石；20装备叠加材料（用于叠加词条使用） 21符文 22藏宝图 30合成石 31 奇玉石 32 属性石 33幸运符 34时装 35灵兽天赋（技能书）36灵兽装备,填0不划分子类型（热血江湖版：武器1 衣服14 护手16 鞋子17 内甲502 戒指18 耳环26 项链19 跨服武器90 跨服衣服91 跨服护手92 跨服鞋子93 跨服内甲94 跨服戒指95 跨服耳环96 跨服项链97 跨服预留部位98 161锻体武器 162锻体衣服 163锻体内甲 164锻体项链 165锻体左戒指 166锻体右戒指 167锻体左耳环 168锻体右耳环 169锻体左护手 170锻体右护手 171锻体鞋子 191-201制作套装1 箭矢503  披风504 头饰505 门甲506 幻武507 508 火龙之心 4001兵魂 4002铭文） 单手剑1；双手剑2；矛3；单手斧4；双手斧5；单手杖6；双手杖7；盾8；战盾81；弓9；弩10；权杖11；拳刃12；头盔13；胸甲14；护腿15；护手16；鞋子17；戒指18；项链19；翅膀20；守护21；坐骑22 ；其他23；24弓箭袋 25弩箭袋 26耳环 27白银月卡 28黄金月卡 29特权卡 30天空密阁密令 31自动拾取卡 40足迹 50变身戒指 91角色改名卡 92战盟改名卡 301转职道具 302技能书 303经验药 304属性点 304转职卡 501称号 701节日烟花 32符文 ,横向占位,纵向占位,#,使用限制 0 或空通用 101:1转剑士 102:1转魔法师 103:1转弓箭手 104:1转魔剑士 105:1转圣导师 201:2转剑士 22:2转魔法师 23:2转弓箭手 24:2转魔剑士 25:2转圣导师 31:3转剑士 32:3转魔法师 33:3转弓箭手 34:3转魔剑士 35:3转圣导师 多职业可穿戴则用#链接,0或空通用 1男 2女,&,0或不填通用 1正 2邪,单位毫秒,从低到高分别为0白，1蓝，2紫，3橙，4粉，5绿，6黄，7大红，10灰，11金，12红,从低到高分别为0白，1蓝，2紫，3橙，4粉，5绿，11金，12红（聊天及其他显示）,从低到高分别为0白，1蓝，2紫，3橙，4粉，5绿，11金，12红（tips道具名）,用以展示战斗力数值,0非绑 1绑定 2装绑,最大堆叠,获取技能：1#技能id；获取buff：2#buffid；打开宝箱：3#boxid；4转职成功；5果实；召唤卷轴：6#怪物id；技能卷轴：7#技能id；自动装备8；9改名道具卡；打开界面：10#UI界面名；寻路NPC：11#transferId#npcId；三倍buff：12#buff；13#经验药；14战盟召唤；15队伍召唤；16#背包格子增加数；17#仓库格子增加数 18#高效叠加 30#黄金宝箱 31#自选宝箱 33#属性点数 34#增加经验的火龙鳞片  35#增加货币 36#创建新职业 38#转职给与的需要赋予卓越词条的任选箱   40#transferID 51转职卡 53联盟召唤 60节日烟花特效id 27 生成挖宝坐标#地图id 302幸运符增加幸运万分比 303 303#A#B强化失败降A级最低降为B级 B可不配置为最低降为0级 304 强化成功随机跳1-3（参数）级 失败不降级 305 强化失败降为0（参数）级 306 强化3升4（参数）必成 307使用时装 309灵兽复活石 310灵兽天赋#施加给灵兽buffid 用在param字段 311灵兽天赋#施加给玩家buffid 用在param字段 312灵兽天赋#技能id用在param字段 313 强化概率增加万分比（乘法）#强化概率增加万分比（加法）314 强化时概率使装备提升至对应等级示例：314#10000#7 强化时使用使装备100%提升至7级 315 强化成功随机跳A-B级 失败销毁 示例315#A#B类似304 （304失败不降级）316 可叠加时间的经验药水  317 江湖录直升卡 318： 318#A#B#C 强化成功跳级A-B随机 失败降为C级 319： 319#A#B#C 强化成功跳级A-B随机 失败降C级 320 经验丹（320#Item_differentcount type) 321伏魔洞活跃值增加#增加值 322增加悬赏任务次数 不影响每日刷新 323 强化概率成功 成功后随机提升等级 323#A#B#C 强化概率A万分比 B-C随机一个等级B最小值C最大值 324增加正邪战场积分的值 325增加正邪战场体力的值 326提升进化成功率 327 魂石等级 328 善恶值 329 地图时间（时间（秒）#地图id#地图id）330 消耗货币开启的宝箱（330#boxid#货币id#数量） 331凝神珠 （331#杀怪数量#获取经验） 332 宠物类buff药  333重置飞升气功点 334#强化目标等级#概率万分比#强化目标等级#概率万分比 335 时间月卡 335#持续时间（秒）,各个系统自定规则,自动使用填1为获取即使用 0或不填为不使用,毫秒,同一组内有道具进入CD时间，则组内其他道具同时进行冷却,道具可使用的次数及刷新时间，关联count表,道具获取次数事件，关联count表,道具每日可拾取数量，关联count表,卓越装备10000-19999；一般装备20000-29999；消耗品：55000-59999；技能书35000-39999；宝箱30000-34999；材料40000-44999；宝石45000-49999；其他50000-54999,物品回收价格,原生x卓越词条#道具#数量,工会捐赠贡献,0：可以；1不可以,上架建议底价,1：游戏服务器,0：不会；1：会掉,0：不记录；1：记录,控制怪物掉落道具是否记录在服务器日志，0或不填表示不记录，填1表示记录,没有：0 道具存有时间一定：1#时间（ms） 道具消失时间一定：2#时间戳,填对应非绑定道具id,是否可以拍卖 0无法拍卖 1#1000020&2#1000030#50#100玩家可以拍卖 1#1000020&2#1000030#50#100#资源id 2系统上架拍卖 2#资源id#竞拍价#一口价,aution字段为1的话需要填最低限制价 最低竞拍价#最高竞拍价#最低一口价#最高一口价,0不是 1是 2背包空间不足时立即使用，用来做新手期,1离开掉落、死亡掉落 2离开销毁,单位毫秒,上架时默认选择的数量 不足不能上架 且每次增加数量都是按最小数量增加 不填则代表1个,如果没有上架的其他道具则显示推荐价格,如果该道具上战盟拍卖配单次加价的幅度（万分比）,标示是否是特殊时装  1.大天使 2.时装 3.称号,0：不能 1：能,0：不变 1：变为绑定,-1：不记录不更新 0：记录不更新 1：记录并且更新 2：专有日志,0或不配 不补发 1补发,1=可以 0不可以,为空时不是时装系列，同系列只能使用一件
uint#id,uint#departed,string#name,uint#icon,uint#type,uint#subType,uint#xTranslate,uint#yTranslate,string#condition,string#career,uint#needSex,uint#needLevel,uint#camp,uint#belongTime,uint#quality,uint#colorShow,uint#titleColor,uint#capacity,uint#bind,uint#overlying,string#useParam,string#param,uint#autoUse,uint#useCd,uint#useCdGroup,uint#useKey,uint#getKey,uint#pickKey,uint#sortId,string#sell,string#sellMore,uint#unionDonate,uint#destroy,uint#recommendOld,uint#serverType,uint#dropBanned,uint#backstageRecord,uint#log,string#overTime,uint#bindEqualItem,string#auction,string#minAuctionPrice,uint#quickUse,uint#leaveChange,uint#auctionPublicityTime,uint#salenum,uint#recommend,uint#increaserate,uint#fashion,uint#deathPurchase,uint#auctionBind,uint#updatelog,uint#valueMail,uint#save,string#series
id,departed,name,icon,type,subType,xTranslate,yTranslate,condition,career,needSex,needLevel,camp,belongTime,quality,colorShow,titleColor,capacity,bind,overlying,useParam,param,autoUse,useCd,useCdGroup,useKey,getKey,pickKey,sortId,sell,sellMore,unionDonate,destroy,recommendOld,serverType,dropBanned,backstageRecord,log,overTime,bindEqualItem,auction,minAuctionPrice,quickUse,leaveChange,auctionPublicityTime,salenum,recommend,increaserate,fashion,deathPurchase,auctionBind,updateLog,valueMail,save,series
1000010,,银两,9000078,1,101,1,1,,0,,,,,,,,,0,-1,,,,,,,,,1000,,,,1,,1,0,1,0,0,,,,,,,,,,,,,-1,0,1,
1000300,,气功点,1000010,1,101,1,1,,0,,,,,,,,,0,-1,,,,,,,,,1000,,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000301,,历练,9000512,1,101,1,1,,0,,,,,,,,,0,-1,,,,,,,,,1000,,,,1,,1,0,1,0,0,,,,,,,,,,,,,-1,0,1,
1000302,,寻宝积分,9000676,1,101,1,1,,0,,,,,,,,,0,-1,,,,,,,,,1000,,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000303,,装备天赋点,1000010,1,101,1,1,,0,,,,,,,,,0,-1,,,,,,,,,1000,,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000304,,首饰天赋点,1000010,1,101,1,1,,0,,,,,,,,,0,-1,,,,,,,,,1000,,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000305,,飞升气功点,7120011,1,101,1,1,,0,,,,,,,,,0,-1,,,,,,,,,1000,,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
