地图编号,地图目录,地图名称,地图进入条件,地图类型,配置文件,地图宽度,地图高度,地图分组,后端分线,开放条件,对应假地图副本,该地图是否可作为返回地图，是否可使用传送符,所用服务器类型,复活坐标,复活cd,复活面板组成,是否可使用连击技,刷新key,角色是否可以重叠,是否安全区能回血回蓝,召唤生效规则,是否支持飞行卷轴使用,是否安全区能回泡点经验,是否接收血色恶魔匹配请求,是否接受被击杀邮件,地图产出绑定天数,客户端判断不过提示,地图是否废弃,是否安全地图,杀人是否增加PK值,地图经验加成,进入地图公告,小地图是否显示boss复活时间,是否支持传送卷轴使用,商业化活动开启时间,活动地图经验加成,地图是否允许组队,是否需要有时间才能进入,角色受击反击是否生效
唯一编号，副本地图预留后三位方便拓展,地图传送列表分组,地图名称,替代之前transfer表中条件,1地图 2副本,配置文件,地图宽度,地图高度,同一分组传送npc配置一致,后端分线假地图填-1 个人副本0 公共副本填1,为空则默认开启每日0点检测,对应假地图组id,默认可以 1不可以,所用服务器类型：1本服 2跨服 3pvp服务器,地图id#x#y 填0代表使用当前出生点复活 ,复活指令发送后cd倒计时结束才复活，填0代表无cd，单位毫秒。 原地复活的cd配gloabl表中,1元宝复活 2江湖币复活 3免费复活 10 死亡地图随机复活（无损） 11 特权复活 13正邪战复活点复活 14累计死亡次数原地复活并赋予玩家buff（江湖乱斗活动用）15仅跨服门派战使用 16副本死亡复活 17 回城复活不扣经验 18 副本出生点通用复活,0=不可以1=可以,填写count表中对应key,0不可以 1可以,0不可以 1可以,1在该地图可召集其他人2在该地图可被召集,0默认为允许1为不允许,0不可以 1可以,1不接收 0或空接收,0是 1否,配置天数,isCheck=1时需要配置文本,0和不填表示启用，1表示废弃,1=安全 0或空=危险,1= 增加 0或空不增加,,,0=不显示，1=显示,0默认为允许1为不允许（传送符+土灵符）,配置活动时间,万分比,1为不允许组队 进入地图内清空组队信息 0或不填为允许组队,1=是,1=不生效，0或不填表示生效
uint#id,uint#index,string#name,Condition4D#enterCondition,uint#type,uint#data,uint#width,uint#height,uint#groupId,uint#line,string#openCondition,uint#virMap,uint#noBack,uint#serverType,string#reliveCoord,uint#reliveCd,string#reliveType,uint#comboSkill,uint#countKey,uint#overlap,uint#restoreHP,string#callType,uint#flyScroll,uint#restoreEXP,uint#orInstanceRequest,uint#killedMail,uint#bindDay,string#tips,uint#disuse,uint#safe,uint#pk,uint#addexperienceRate,string#chatid,uint#bossReviveShow,uint#transmit,Condition3D#commerceCondition,uint#addexperienceRate2,uint#teamLimit,uint#needtime,uint#counterattack
id,index,name,enterCondition,type,data,width,height,groupId,line,openCondition,virMap,noBack,serverType,reliveCoord,reliveCd,reliveType,comboSkill,countKey,overlap,restoreHP,callType,flyScroll,restoreEXP,orInstanceRequest,killedMail,bindDay,tips,disuse,safe,pk,addexperienceRate,chatid,bossReviveShow,transmit,commerceCondition,addexperienceRate2,teamLimit,needtime,counterattack
209001,209001,经验试炼「一」,101#35,2,20900,64,64,209001,0,,,1,1,101#195#281,0,1#2#3#11,0,1371002,,,,1,,1,,,,1,,,,,1,,,,,,
209002,209002,经验试炼「二」,101#40&3601#1#5,2,20900,64,64,209002,0,,,1,1,101#195#281,0,1#2#3#11,0,1371002,,,,1,,1,,,,1,,,,,1,,,,,,
209003,209003,经验试炼「三」,101#45&3601#2#5,2,20900,64,64,209003,0,,,1,1,101#195#281,0,1#2#3#11,0,1371002,,,,1,,1,,,,1,,,,,1,,,,,,
209004,209004,经验试炼「四」,101#50&3601#3#5,2,20900,64,64,209004,0,,,1,1,101#195#281,0,1#2#3#11,0,1371002,,,,1,,1,,,,1,,,,,1,,,,,,
209005,209005,经验试炼「五」,101#55&3601#4#5,2,20900,64,64,209005,0,,,1,1,101#195#281,0,1#2#3#11,0,1371002,,,,1,,1,,,,1,,,,,1,,,,,,
209006,209006,经验试炼「六」,101#60&3601#5#5,2,20900,64,64,209006,0,,,1,1,101#195#281,0,1#2#3#11,0,1371002,,,,1,,1,,,,1,,,,,1,,,,,,
209007,209007,经验试炼「七」,101#65&3601#6#5,2,20900,64,64,209007,0,,,1,1,101#195#281,0,1#2#3#11,0,1371002,,,,1,,1,,,,1,,,,,1,,,,,,
209008,209008,经验试炼「八」,101#70&3601#7#5,2,20900,64,64,209008,0,,,1,1,101#195#281,0,1#2#3#11,0,1371002,,,,1,,1,,,,1,,,,,1,,,,,,
209009,209009,经验试炼「九」,101#75&3601#8#5,2,20900,64,64,209009,0,,,1,1,101#195#281,0,1#2#3#11,0,1371002,,,,1,,1,,,,1,,,,,1,,,,,,
209010,209010,经验试炼「十」,101#80&3601#9#5,2,20900,64,64,209010,0,,,1,1,101#195#281,0,1#2#3#11,0,1371002,,,,1,,1,,,,1,,,,,1,,,,,,
209011,209011,经验试炼「十一」,101#85&3601#10#5,2,20900,64,64,209011,0,,,1,1,101#195#281,0,1#2#3#11,0,1371002,,,,1,,1,,,,1,,,,,1,,,,,,
209012,209012,经验试炼「十二」,101#90&3601#11#5,2,20900,64,64,209012,0,,,1,1,101#195#281,0,1#2#3#11,0,1371002,,,,1,,1,,,,1,,,,,1,,,,,,
209013,209013,经验试炼「十三」,101#95&3601#12#5,2,20900,64,64,209013,0,,,1,1,101#195#281,0,1#2#3#11,0,1371002,,,,1,,1,,,,1,,,,,1,,,,,,
209014,209014,经验试炼「十四」,101#100&3601#13#5,2,20900,64,64,209014,0,,,1,1,101#195#281,0,1#2#3#11,0,1371002,,,,1,,1,,,,1,,,,,1,,,,,,
209015,209015,经验试炼「十五」,101#110&3601#14#5,2,20900,64,64,209015,0,,,1,1,101#195#281,0,1#2#3#11,0,1371002,,,,1,,1,,,,1,,,,,1,,,,,,
209016,209016,经验试炼「十六」,101#120&3601#15#5,2,20900,64,64,209016,0,,,1,1,101#195#281,0,1#2#3#11,0,1371002,,,,1,,1,,,,1,,,,,1,,,,,,
209017,209017,经验试炼「十七」,101#130&3601#16#5,2,20900,64,64,209017,0,,,1,1,101#195#281,0,1#2#3#11,0,1371002,,,,1,,1,,,,1,,,,,1,,,,,,
209018,209018,经验试炼「十八」,101#140&3601#17#5,2,20900,64,64,209018,0,,,1,1,101#195#281,0,1#2#3#11,0,1371002,,,,1,,1,,,,1,,,,,1,,,,,,
209019,209019,经验试炼「十九」,101#150&3601#18#5,2,20900,64,64,209019,0,,,1,1,101#195#281,0,1#2#3#11,0,1371002,,,,1,,1,,,,1,,,,,1,,,,,,
209020,209020,经验试炼「二十」,101#160&3601#19#5,2,20900,64,64,209020,0,,,1,1,101#195#281,0,1#2#3#11,0,1371002,,,,1,,1,,,,1,,,,,1,,,,,,
209021,209021,江湖试炼21层,101#1,2,20900,64,64,209021,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209022,209022,江湖试炼22层,101#1,2,20900,64,64,209022,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209023,209023,江湖试炼23层,101#1,2,20900,64,64,209023,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209024,209024,江湖试炼24层,101#1,2,20900,64,64,209024,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
