唯一id,等级,职业id,attribute
唯一id,,1剑士类职业 2法师类职业 3弓手类职业,attribute
uint#id,uint#level,string#career,attribute
id,level,career,attribute
1,1,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":150#"maximumHealth":1450#"shen":90#"xin":80#"li":80#"expPoint":1000}
2,2,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":165#"maximumHealth":1570#"shen":100#"xin":90#"li":95#"expPoint":1000}
3,3,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":180#"maximumHealth":1690#"shen":110#"xin":100#"li":110#"expPoint":1000}
4,4,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":195#"maximumHealth":1810#"shen":120#"xin":110#"li":125#"expPoint":1000}
5,5,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":210#"maximumHealth":1930#"shen":130#"xin":120#"li":140#"expPoint":1000}
6,6,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":225#"maximumHealth":2050#"shen":140#"xin":130#"li":155#"expPoint":1000}
7,7,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":240#"maximumHealth":2170#"shen":150#"xin":140#"li":170#"expPoint":1000}
8,8,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":255#"maximumHealth":2290#"shen":160#"xin":150#"li":185#"expPoint":1000}
9,9,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":270#"maximumHealth":2410#"shen":170#"xin":160#"li":200#"expPoint":1000}
10,10,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":285#"maximumHealth":2530#"shen":180#"xin":170#"li":215#"expPoint":1000}
11,11,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":300#"maximumHealth":2650#"shen":190#"xin":180#"li":230#"expPoint":1000}
12,12,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":315#"maximumHealth":2770#"shen":200#"xin":190#"li":245#"expPoint":1000}
13,13,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":330#"maximumHealth":2890#"shen":210#"xin":200#"li":260#"expPoint":1000}
14,14,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":345#"maximumHealth":3010#"shen":220#"xin":210#"li":275#"expPoint":1000}
15,15,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":360#"maximumHealth":3130#"shen":230#"xin":220#"li":290#"expPoint":1000}
