装备ID,可用职业,可装孔位,孔位类型,进化词条数量,进化词条库随机概率,随机基础属性,附加属性词条数量,附加属性词条库随机概率,隐藏属性词条数量,隐藏属性词条库随机概率,耐久度,装备后存在总时间,宠物受伤减免,致命加成,创建条数与权重,固定卓越词条,能否镶宝,强化特效,是否携带技能,是否携带buff,是否有变身效果,装备修理费,装备评分,套装编号,装备追加最高等级上限,成长所需材料,场景中是否显示模型,自动回收/分解,自动购买箭矢,原地复活,回收江湖币变成非绑定,每日无损复活次数,土灵符存储坐标数,宠物自动喂养,开启宝石仓库,增加经验试炼副本次数,开启装备更换方案,扩展背包格子数,扩展仓库格子数,几阶装备,装备是否可以叠加,装备叠加上限,是否掉落,价格,标记,称号档位,attribute,disableAttribute
对应itemid,使用限制 0 或空通用 11:1转剑士 12:1转魔法师 13:1转弓箭手 14:1转魔剑士 15:1转圣导师 21:2转剑士 22:2转魔法师 23:2转弓箭手 24:2转魔剑士 25:2转圣导师 31:3转剑士 32:3转魔法师 33:3转弓箭手 34:3转魔剑士 35:3转圣导师 多职业可穿戴则用#链接,（热血江湖版本：武器4 衣服6 左护手8 右护手9 鞋子10 内甲16  左戒指11 右戒指12 左耳环13 右耳环14 项链7  箭矢17  披风3106 头饰2 门甲3506 幻弓3105 幻武其他3104 跨服武器41 跨服衣服42 跨服左护手43 跨服右护手44 跨服鞋子45 跨服内甲46 跨服左戒指47 跨服右戒指48 跨服左耳环49 跨服右耳环50 跨服项链51 跨服预留部位52） 填equipcell_cell表 1守护；2头盔；3翅膀；4主手武器；5副手武器；6铠甲；7项链；8护手；9护腿；10靴子；11左手戒指；12右手戒指（多个部位用#隔开）；22开头就是坐骑 2301  3104大天使主手武器   3105大天使副手武器 6001天空密令 771#772神器孔位,1普通装备 2 宝石位 3坐骑位置 4月卡位置 5特权卡 6大天使装备 7天空密阁 8称号 9自动拾取卡 10足迹 11部位时装 12守护时装 13变身戒指  14坐骑装备,出现的进化词条数 词条数#权重&词条数#权重,Jinhua_attribute表id#权重&id#权重,填Jinghua_attribute表id,出现的附件属性词条数 词条数#权重&词条数#权重,Jinhua_attribute表id#权重&id#权重,出现的隐藏属性词条数 词条数#权重&词条数#权重,Jinhua_attribute表id#权重&id#权重,属性 值；-1=没有耐久度,属性 值；单位 毫秒；-1=不限制装备时间,属性 万分比,属性 万分比,属性 值,卓越词条id#卓越词条id,数量#权重&数量2#权重2,最大镶宝数量,填技能id,填BUFFid,有则填写model,每一点耐久的修理费,装备评分配置，只生效装备,编号#阶级为空时不是套装,,,0：不显示 1 ：显示,1开启,1开启,,,,,,,countkey#次数,,,,几阶装备,空不能叠加 不为空能叠加，相同id的装备为同组可以互相叠加,装备叠加上限,,配置掉落但是没有配置价格，则默认不需要赎回直接掉落,0=白装或蓝装1=卓越 2=史诗 3=传奇 4=神化 5=创世,1=1档、 2=2档、 3=3档、99=光暗之决（特殊）,attribute,disableAttribute
uint#id,string#career,string#equipPosition,uint#cellType,string#jinhuaNumber,string#jinhuaAttribute,string#randomAttribute,string#addNumber,string#addAttribute,string#hideNumber,string#hideAttribute,uint#durability,uint#equipTime,uint#petHurReduceRate,uint#deadlyProbabilityRate,string#createNumber,string#createFixedExcellent,uint#inlaidGemsNumber,string#enhancedEffects,uint#carryingSkills,IntListJingHao#carryingBuff,string#transformation,uint#repairCost,uint#equipRating,string#suitId,uint#zhuijiaMaxLimit,uint#growUp,uint#isDisplay,uint#autoRecycle,uint#autoJianshi,uint#autoFuhuo,uint#isBind,uint#fuhuoTimes,uint#tlfNum,uint#autofeed,uint#gembag,string#exp_duplicate,uint#equip_plan,uint#addbag,uint#addwarehouse,uint#equipClass,uint#overlap,uint#overlapMax,uint#drop,uint#price,uint#Mark,uint#mountTitleClass,attribute,disableAttribute
id,career,equipPosition,cellType,jinhuaNumber,jinhuaAttribute,randomAttribute,addNumber,addAttribute,hideNumber,hideAttribute,durability,equipTime,petHurReduceRate,deadlyProbabilityRate,createNumber,createFixedExcellent,inlaidGemsNumber,enhancedEffects,carryingSkills,carryingBuff,transformation,repairCost,equipRating,suitId,zhuijiaMaxLimit,growUp,isDisplay,autoRecycle,autoJianshi,autoFuhuo,isBind,fuhuoTimes,tlfNum,autofeed,gembag,exp_duplicate,equip_plan,addbag,addwarehouse,equipClass,overlap,overlapMax,drop,price,Mark,mountTitleClass,attribute,disableAttribute
2000010,11#14,4,0,,,,,,,,-9999,-9999,,,,2010101#30,0,,,,,1,20,,40,,1,,,,,,,,,,,,,1,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2000020,12#14,4,0,,,,,,,,-9999,-9999,,,,2060101#30,0,,,,,1,20,,40,,1,,,,,,,,,,,,,1,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2000030,13,4,0,,,,,,,,-9999,-9999,,,,2090101#30,0,,,,,1,20,,40,,1,,,,,,,,,,,,,1,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2000040,11#14,0,0,,,,,,,,-9999,-9999,,,,2130110#30,0,,,,,1,20,,40,,1,,,,,,,,,,,,,1,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2000050,12#14,0,0,,,,,,,,-9999,-9999,,,,2130110#30,0,,,,,1,20,,40,,1,,,,,,,,,,,,,1,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2000060,13,0,0,,,,,,,,-9999,-9999,,,,2130110#30,0,,,,,1,20,,40,,1,,,,,,,,,,,,,1,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2001001,0,0,0,,,,,,,,-9999,-9999,,,,2180109#1,0,,,,,1,20,,40,,1,,,,,,,,,,,,,1,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
