地图编号,地图目录,地图名称,地图进入条件,地图类型,配置文件,地图宽度,地图高度,地图分组,后端分线,开放条件,对应假地图副本,该地图是否可作为返回地图，是否可使用传送符,所用服务器类型,复活坐标,复活cd,复活面板组成,是否可使用连击技,刷新key,角色是否可以重叠,是否安全区能回血回蓝,召唤生效规则,是否支持飞行卷轴使用,是否安全区能回泡点经验,是否接收血色恶魔匹配请求,是否接受被击杀邮件,地图产出绑定天数,客户端判断不过提示,地图是否废弃,是否安全地图,杀人是否增加PK值,地图经验加成,进入地图公告,小地图是否显示boss复活时间,是否支持传送卷轴使用,商业化活动开启时间,活动地图经验加成,地图是否允许组队,是否需要有时间才能进入,角色受击反击是否生效
唯一编号，副本地图预留后三位方便拓展,地图传送列表分组,地图名称,替代之前transfer表中条件,1地图 2副本,配置文件,地图宽度,地图高度,同一分组传送npc配置一致,后端分线假地图填-1 个人副本0 公共副本填1,为空则默认开启每日0点检测,对应假地图组id,默认可以 1不可以,所用服务器类型：1本服 2跨服 3pvp服务器,地图id#x#y 填0代表使用当前出生点复活 ,复活指令发送后cd倒计时结束才复活，填0代表无cd，单位毫秒。 原地复活的cd配gloabl表中,1元宝复活 2江湖币复活 3免费复活 10 死亡地图随机复活（无损） 11 特权复活 13正邪战复活点复活 14累计死亡次数原地复活并赋予玩家buff（江湖乱斗活动用）15仅跨服门派战使用 16副本死亡复活 17 回城复活不扣经验 18 副本出生点通用复活,0=不可以1=可以,填写count表中对应key,0不可以 1可以,0不可以 1可以,1在该地图可召集其他人2在该地图可被召集,0默认为允许1为不允许,0不可以 1可以,1不接收 0或空接收,0是 1否,配置天数,isCheck=1时需要配置文本,0和不填表示启用，1表示废弃,1=安全 0或空=危险,1= 增加 0或空不增加,,,0=不显示，1=显示,0默认为允许1为不允许（传送符+土灵符）,配置活动时间,万分比,1为不允许组队 进入地图内清空组队信息 0或不填为允许组队,1=是,1=不生效，0或不填表示生效
uint#id,uint#index,string#name,Condition4D#enterCondition,uint#type,uint#data,uint#width,uint#height,uint#groupId,uint#line,string#openCondition,uint#virMap,uint#noBack,uint#serverType,string#reliveCoord,uint#reliveCd,string#reliveType,uint#comboSkill,uint#countKey,uint#overlap,uint#restoreHP,string#callType,uint#flyScroll,uint#restoreEXP,uint#orInstanceRequest,uint#killedMail,uint#bindDay,string#tips,uint#disuse,uint#safe,uint#pk,uint#addexperienceRate,string#chatid,uint#bossReviveShow,uint#transmit,Condition3D#commerceCondition,uint#addexperienceRate2,uint#teamLimit,uint#needtime,uint#counterattack
id,index,name,enterCondition,type,data,width,height,groupId,line,openCondition,virMap,noBack,serverType,reliveCoord,reliveCd,reliveType,comboSkill,countKey,overlap,restoreHP,callType,flyScroll,restoreEXP,orInstanceRequest,killedMail,bindDay,tips,disuse,safe,pk,addexperienceRate,chatid,bossReviveShow,transmit,commerceCondition,addexperienceRate2,teamLimit,needtime,counterattack
61001,1001,勇者大陆,901#9999,2,1001,300,300,1001,-1,,,,1,0,0,1#2#3#11,1,,,1,1#2,,,,,0,,1,,,,,1,,,,,,
100201,100200,地下城1,101#30,1,100201,256,256,100201,1,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
2100201,100200,地下城1,101#30,1,100201,256,256,100201,2,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
3100201,100200,地下城1,101#30,1,100201,256,256,100201,3,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
6100201,100200,地下城1,901#9999,2,100201,256,256,100201,-1,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
21002016,100200,地下城1,901#9999,2,100201,256,256,100201,-1,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
63100201,100200,地下城1,901#9999,2,100201,256,256,100201,-1,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
100202,100200,地下城2,101#30,1,100202,256,256,100202,1,,,,1,100201#109#247,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
2100202,100200,地下城2,101#30,1,100202,256,256,100202,2,,,,1,2100201#109#247,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
3100202,100200,地下城2,101#30,1,100202,256,256,100202,3,,,,1,3100201#109#247,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
6100202,100200,地下城2,901#9999,2,100202,256,256,100202,-1,,,,1,100201#109#247,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
62100202,100200,地下城2,901#9999,2,100202,256,256,100202,-1,,,,1,2100201#109#247,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
63100202,100200,地下城2,901#9999,2,100202,256,256,100202,-1,,,,1,3100201#109#247,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
100203,100200,地下城3,101#30,1,100203,256,256,100203,1,,,,1,100201#109#247,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
2100203,100200,地下城3,101#30,1,100203,256,256,100203,2,,,,1,2100201#109#247,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
3100203,100200,地下城3,101#30,1,100203,256,256,100203,3,,,,1,3100201#109#247,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
6100203,100200,地下城3,901#9999,2,100203,256,256,100203,-1,,,,1,100201#109#247,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
62100203,100200,地下城3,901#9999,2,100203,256,256,100203,-1,,,,1,2100201#109#247,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
63100203,100200,地下城3,901#9999,2,100203,256,256,100203,-1,,,,1,3100201#109#247,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
21003,1003,冰风谷,101#15,1,1003,256,256,1003,2,,,,1,0,0,1#2#3#11,1,,,1,1#2,,1,,,0,,1,,,,,1,,,,,,
31003,1003,冰风谷,101#15,1,1003,256,256,1003,3,,,,1,0,0,1#2#3#11,1,,,1,1#2,,1,,,0,,1,,,,,1,,,,,,
61003,1003,冰风谷,901#9999,2,1003,256,256,1003,-1,,,,1,0,0,1#2#3#11,1,,,1,1#2,,,,,0,,1,,,,,1,,,,,,
621003,1003,冰风谷,901#9999,2,1003,256,256,1003,-1,,,,1,0,0,1#2#3#11,1,,,1,1#2,,,,,0,,1,,,,,1,,,,,,
631003,1003,冰风谷,901#9999,2,1003,256,256,1003,-1,,,,1,0,0,1#2#3#11,1,,,1,1#2,,,,,0,,1,,,,,1,,,,,,
61004,1004,仙踪林,901#9999,2,1004,256,256,1004,-1,,,,1,0,0,1#2#3#11,1,,,1,1#2,,,,,0,,1,,,,,1,,,,,,
1005,1005,失落之塔,101#50,1,1005,256,256,1005,-2,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
100501,100500,失落之塔1,101#50,1,100501,256,256,100501,1,,,,1,100501#208#77,0,1#2#3#11,1,,,,1#2,,1,,,0,,1,,,,,1,,,,,,
