技能ID,技能名称,升级经验,技能类型,技能脚本,伤害类型,学习职业,学习等级,魔法消耗,作用目标类型,攻击范围类型,攻击范围,攻速类型,CD时间（重新检查）,僵直时间,技能仇恨值,最大攻击数量,BUFF,子技能,施放距离,显示组别,组别icon,伤害飘字段数,伤害延迟
技能组ID+技能等级,,-1=不能升级；0=升级不消耗经验；>0=升级消耗经验数量,1=主动技能2=被动技能3=连击技能4=子技能 5=一次性技能,1：走伤害公式技能（通用伤害；通用治疗技能；伤害技能带BUFF）2：不走伤害公式技能及没有伤害，能给目标产生位移和添加buff3：不选择目标，不对目标造成伤害，只影响自己和地图（通用地面buff：召唤类技能）,1：物理伤害 2：魔法伤害 3：诅咒伤害,11:1转剑士12:1转魔法师13:1转弓箭手14:1转魔剑士15:1转圣导师21:2转剑士22:2转魔法师23:2转弓箭手24:2转魔剑士25:2转圣导师31:3转剑士32:3转魔法师33:3转弓箭手34:3转魔剑士35:3转圣导师91：怪物99：卷轴技能,,,1:敌方2:友方3:友方召唤物4:敌方召唤物,0=单体；1=范围；2=单格；3=友方单位,攻击范围类型=1时必填,31种攻速类型,0或不填=受攻速影响，单位毫秒,单位毫秒,,最多目标数,,buff触发的伤害子技能id,,用于界面展示,,比例1#比例2，表示有几段伤害，顺序随机,实际受到伤害的延迟，单位毫秒
uint#id,string#name,uint#exp,uint#skillType,string#type,uint#damageType,string#career,uint#needLevel,uint#costMP,uint#targetType,uint#effectArea,uint#path,uint#speed,uint#cdTime,uint#stiffTime,uint#hatePoint,uint#maxTarget,string#buff,uint#subSkill,uint#releaseDistance,uint#showgroup,string#groupicon,string#damagenum,uint#damagedelay
id,name,exp,skillType,script,damageType,career,needLevel,costMP,targetType,effectAreaType,effectAreaRange,speed,cdTime,stiffTime,hatePoint,maxTarget,buff,subSkill,releaseDistance,showgroup,groupicon,damagenum,damagedelay
7111,远程动作1单体攻击CD1秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,5,,,100,
7112,远程动作1单体攻击CD2秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,5,,,100,
7113,远程动作1单体攻击CD3秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,5,,,100,
7114,远程动作1单体攻击CD4秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,5,,,100,
7121,远程动作1公cd2单体攻击CD1秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,5,,,100,
7122,远程动作1公cd2单体攻击CD2秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,5,,,100,
7123,远程动作1公cd2单体攻击CD3秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,5,,,100,
7124,远程动作1公cd2单体攻击CD4秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,5,,,100,
7211,远程动作2单体攻击CD1秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,5,,,100,
