唯一id,id,名称
属性key,属性id,
string#id,uint#attrId,string#equipeUI
id,attrId,description
strength,1,力量
agility,2,敏捷
vitality,3,体力
vitality1,0,体力
energy,4,智力
leadership,5,统帅
xin,210,心：
li,211,力：
ti,212,体：
shen,213,身：
xin_mul,0,心属性：
li_mul,0,力属性：
ti_mul,0,体属性：
shen_mul,0,身属性：
experienceRate,6,经验加成：
liLianRate,232,历练加成：
feiShengLiLianRate,281,飞升历练加成：
moneyAmountRate,7,掉落银两：
sellGoldUpRatio,10,回收银两：
attackSpeed,8,攻击速度
maximumHealth,11,生命值：
maximumHealth_mul,0,生命加成：
maximumMana,13,内力值：
maximumMana_mul,0,内力加成：
maximumShield,15,最大SD
maximumAbility,17,最大技能
healthRecoveryMultiplier,18,生命恢复：
manaRecoveryMultiplier,19,内力恢复：
abilityRecoveryAbsolute,25,技能值回复
shieldRecoveryAbsolute,24,防护回复
healthAfterMonsterKillAbsolute,30,杀死怪物生命值增加
healthAfterMonsterKillMultiplier,26,杀死怪物生命值恢复
manaAfterMonsterKillAbsolute,31,杀死怪物魔法值增加
manaAfterMonsterKillMultiplier,27,杀死怪物魔法值恢复
shieldAfterMonsterKillAbsolute,32,
attackRatePvm,40,命中：
attackRatePvm_mul,0,命中加成：
attackRatePvp,41,
defenseRatePvm,42,闪避：
defenseRatePvm_mul,0,闪避加成：
defenseRatePvp,43,
criticalDamageBonus,44,会心加成：
excellentDamageBonus,45,卓越一击伤害加成
criticalDamageChance,46,会心几率：
excellentDamageChance,47,卓越一击率
client_physBaseDmg,0,攻击力
minimumPhysBaseDmg,53,攻击力：
maximumPhysBaseDmg,54,攻击力：
minimumPhysBaseDmg_mul,0,攻击加成：
maximumPhysBaseDmg_mul,0,攻击加成：
minimumPhysBaseDmg_fAdd,0,最小攻击：
maximumPhysBaseDmg_fAdd,0,最大攻击：
minimumPhysBaseDmg_exMul,0,
maximumPhysBaseDmg_exMul,0,
physBaseDmgByLevel,130,(根据等级)增加攻击力 等级 * 
client_wizBaseDmg,0,魔法攻击力
minimumWizBaseDmg,55,最小魔法攻击
maximumWizBaseDmg,56,最大魔法攻击
minimumWizBaseDmg_mul,0,魔法攻击力
maximumWizBaseDmg_mul,0,魔法攻击力
minimumWizBaseDmg_exMul,0,
maximumWizBaseDmg_exMul,0,
wizBaseDmgByLevel,131,(根据等级)魔法攻击力 等级 * 
client_physAndWizBaseDmgByLevel,0,攻击力/魔法攻击力 等级 * 
client_physAndWizBaseDmgMax,0,最大攻击力/魔法攻击力
client_physAndWizBaseDmgMin,0,最小攻击力/魔法攻击力
client_physAndWizBaseDmg,0,攻击力/魔法攻击力
client_physAndWizBaseDmg_mul,0,
client_physAndWizBaseDmg_exMul,0,
minimumCurseBaseDmg,57,
maximumCurseBaseDmg,58,
petAttackDamageIncrease,123,宠物攻击力提高
defenseIgnoreChance,70,无视防御率
defenseBase,71,防御力：
defenseBase_mul,0,防御加成：
defenseIncreaseWithEquippedShield,74,盾牌防御力
defensePvm,72,对怪防御力：
damageReceiveDecrement,80,伤害削减
excellenceDamageDecrement,157,伤害减少
attackDamageIncrease,81,伤害提升
skillDamageBonus,82,技能攻击力
skillMultiplier,83,
twoHandedWeaponDamageIncrease,85,
pvpAddRatio,228,PK加成：
pvpReduceRatio,229,PK减免：
doubleDamageChance,87,双倍攻击概率
shieldBypassChance,90,
shieldDecreaseRateIncrease,91,
shieldRateIncrease,92,
damageReflection,93,伤害反弹：
iceResistance,100,冰抗
fireResistance,101,火炕
waterResistance,102,水抗
